hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_losses,rank_rmse,rank_mae,rank_r2,norm_epoch_time,weighted_epoch_time,loss_slope,rank_loss_slope,combined_rank
100,4,0.0005,30,10.80251,6.682327,0.9958921670913696,23.68628911177317,"[1138733.7401832014, 622094.5364824986, 301534.62570683507, 114028.4999440289, 42458.71100479859, 35132.92089390651, 22158.818561803826, 12927.998571021068, 4250.853190994679, 1229.2080744590821, 560.4237459243385, 315.3647123702749, 201.049945035746, 144.93709212971046, 112.67211787981758, 98.65873002797755, 85.17184993657223, 86.65605609961602, 75.77973299704524, 72.38702375623987, 69.16009808009629, 61.05945321585674, 59.64172872315328, 59.832926076377326, 58.19640142200555, 55.477728669820394, 50.609960193587185, 54.800428680327265, 65.76384648439925, 53.0141550022702]",2.0,1.0,1.0,0.9845760952604857,0.09845760952604858,-13831.96069864637,3.1,7.198457609526049
100,2,0.0005,30,10.757427,7.3021564,0.9956105947494508,20.52592480182648,"[1137920.7277480213, 621599.9580547216, 301137.4093204148, 113829.07876466976, 40053.98136961825, 23500.437887533262, 13263.950065571147, 5426.38173693861, 1994.7288365738882, 940.277872078804, 602.4913985695381, 419.4257319743977, 299.9576008408351, 230.56289066107513, 192.6483977499487, 162.27583756977813, 144.63118248553255, 129.8560136457718, 118.59628316603894, 108.37998045011379, 99.97320666844148, 93.67901927694743, 89.00188481196045, 83.69922041164214, 79.25318941070523, 77.44209384937734, 74.6715301269397, 73.98758341105224, 68.64972318832531, 67.74101487804188]",1.0,2.0,2.0,0.19689597400033973,0.019689597400033974,-13693.504367009327,3.5,8.519689597400035
100,2,0.001,30,12.489048,8.393791,0.9946783185005188,20.38666676680247,"[886613.1514098322, 225806.8042141444, 40056.79027160911, 19529.085466776352, 5482.637249580117, 1545.8528851078067, 975.3833307834692, 779.1243608070773, 663.5950983106829, 572.2548675318473, 518.3703590001602, 469.86128539185336, 442.87712937723603, 414.04947179790145, 396.3428672049764, 375.23244135817066, 365.6901105376831, 352.7490866294855, 332.67265509596035, 307.64755648660866, 291.2312454209057, 278.3175061915119, 283.5246226113436, 282.5025453687235, 249.3016698068927, 231.04556797399272, 225.24883650145676, 220.94031750713373, 208.64994875026062, 213.95706748493893]",3.0,3.0,3.0,0.16218770142273542,0.016218770142273544,-7430.99347790229,4.5,13.516218770142274
100,3,0.001,30,15.917845,11.748438,0.9900108575820924,22.022468010584515,"[888594.7436118313, 226521.305916199, 43256.73007348739, 35843.67001022938, 27388.063136004985, 16588.184243014806, 7734.720502682649, 1414.2137039530226, 803.874239600902, 570.8291476569322, 479.02950775727436, 424.98948808632565, 436.13149169855245, 417.7205572732151, 354.7715266396385, 390.1609801626622, 352.50160903805727, 346.5959452502592, 269.3794149139563, 255.03881780132977, 239.86446074861627, 215.43105116161198, 206.5743150210016, 256.8572114087869, 225.67747524484795, 168.75717188437432, 170.5194848748534, 153.8351072380116, 179.57836094225337, 148.73061255824356]",4.0,4.0,4.0,0.5698901039604582,0.05698901039604583,-7745.706492253819,4.4,16.456989010396047
50,2,0.001,30,17.49769,13.3821125,0.9889509677886964,19.84799366792043,"[1137526.6136650518, 617718.0414889806, 296504.7169269412, 110454.0287824739, 39252.77769530184, 24772.70075775546, 20160.835406007725, 14845.755665541736, 11728.502647033425, 7412.5388629863355, 3237.7757273115967, 1747.4690996309555, 1131.3912682278187, 917.8463343220507, 773.8414588666899, 628.6006487719877, 518.1408593683263, 455.7294446198701, 402.8905181413655, 368.94683847026533, 350.30584277336254, 330.22135568498004, 309.4223816530153, 296.6972171242581, 289.16418387861233, 285.72168177886823, 271.7555701693593, 275.8046650412822, 254.14481206934525, 249.16572718797292]",5.0,6.0,5.0,0.027930365801152976,0.002793036580115298,-13725.813883647377,3.4,19.402793036580114
100,3,0.0005,30,19.066093,12.317503,0.9878194332122804,21.98805071512858,"[1138635.1572990585, 622030.7795484784, 301533.1194391376, 114075.43369236575, 41301.111864381484, 26508.7118828786, 20068.794659743664, 11219.934905156299, 5340.627085938724, 2835.31156994474, 1817.9127908856588, 1504.6296243771715, 752.1250250261423, 380.89688097259364, 266.8148638970467, 217.37786652024135, 208.11051972347056, 185.51822049388718, 170.9529206765791, 166.93137048412618, 153.22097744054147, 144.07726214455204, 139.65800271791662, 130.571503083974, 126.72399216226616, 116.5782490237311, 121.28642708609718, 104.68766241549925, 111.01602901811162, 115.57307044634652]",6.0,5.0,6.0,0.5613120361178195,0.056131203611781956,-13784.537976921172,3.2,20.25613120361178
50,3,0.001,30,25.20287,15.872816,0.9746161699295044,21.33067368666331,"[1136560.9695687774, 617129.80584317, 296077.6894211415, 110250.17684523403, 40433.300086808515, 26658.895624019173, 21639.30814861314, 16878.816093811303, 13556.857410980625, 11990.30628330947, 10708.83733307951, 9564.987021417077, 9336.7730049733, 8482.902458449118, 7542.679716584985, 7389.134232783422, 7078.286585270577, 5059.353206022338, 2079.2267773953067, 1323.9595950919988, 1159.5094286781211, 1047.5210523079577, 1008.4208153210352, 960.9715013327036, 925.9255107885886, 901.4400769362803, 878.9732189194084, 839.6970383829425, 899.508870620915, 796.6285090555791]",7.0,7.0,7.0,0.39746927410919136,0.03974692741091914,-13754.156484542049,3.3,24.33974692741092
100,4,0.001,30,57.235516,41.05341,0.8651285171508789,23.631506363550823,"[888621.0104522039, 226612.93932412492, 43257.087335178425, 56347.85583682664, 95516.85616105924, 30769.16326917623, 18958.911356430388, 11473.159254981962, 9869.098743805198, 9554.86594262602, 9150.377983593004, 6786.70533445933, 6401.8699612096925, 2912.2306927426935, 1665.4456226294737, 1520.1456169353303, 1496.8156858677428, 1453.2487802130686, 1453.1429197902762, 1427.1770702803499, 1391.9169579322681, 1499.684377145559, 1394.7785625541053, 1404.1426060938938, 1357.4076223769043, 1303.7770966067585, 1278.8709037772433, 1274.7464886482105, 1150.5486835111176, 1124.687034538219]",8.0,8.0,8.0,0.970922200477871,0.09709222004778711,-8334.260538257851,4.3,28.39709222004779
100,3,0.05,30,180.54807,127.36311,-0.04995858669281,22.117512512207032,"[79711.70993081972, 35886.61734395256, 35888.9986405685, 35888.86978056129, 35885.733585007845]",16.0,10.0,13.0,0.5935787224933,0.05935787224933001,-8764.970025501498,4.2,43.25935787224933
50,4,0.1,30,180.5157,128.51703,-0.0531746745109558,21.33026580810547,"[80403.44149966844, 35900.50266289191, 35887.66236550943, 35888.24782912075, 35893.465179709885]",14.0,20.0,15.0,0.39736761562922174,0.03973676156292218,-8903.220747368825,3.9,52.93973676156292
